Date	Month	Collection	Owner	Brand	Pack Size	Pack Type	Queries	SizeOfReturnedData	ResponseTimes(ms)	Price
01/01/2011	Jan-11	uk.wifi.available.dates	Stark Ind	Omega	12	Standard	233	4.15	39.41	66.57
01/01/2011	Jan-11	uk.wifi.available.dates	Tyrell Corp	Kappa	8	Standard	776	19.87	175.55	89.05
01/01/2011	Jan-11	uk.wifi.available.dates	Tyrell Corp	Kappa	12	Standard	2216	26.44	422.28	75.01
01/01/2011	Jan-11	uk.wifi.available.dates	Tyrell Corp	Kappa	18	Standard	927	12.49	173.26	73.56
01/01/2011	Jan-11	uk.wifi.available.dates	Wayne Ent	Pi	12	Giftset	188	5.74	40.39	84.57
01/02/2011	Feb-11	br.collection.name.shops	Aperture	Delta	12	Standard	1997	96.71	280.47	55.28
01/02/2011	Feb-11	uk.collection.name.shops	Aperture	Eta	12	Standard	698	15.11	84.11	47.43
01/02/2011	Feb-11	uk.collection.name.shops	Aperture	Omicron	8	Standard	1194	99.63	252.63	83.28
01/02/2011	Feb-11	uk.collection.name.shops	Aperture	Omicron	12	Deluxe	513	92.4	114.31	87.71
01/02/2011	Feb-11	uk.collection.name.shops	Aperture	Omicron	12	Giftset	2622	99.33	589.58	88.51
01/02/2011	Feb-11	uk.collection.name.shops	Aperture	Omicron	12	Standard	6954	99.95	1287.14	72.85
01/02/2011	Feb-11	uk.collection.name.shops	Aperture	Omicron	18	Standard	5454	97.59	940.18	67.85
01/02/2011	Feb-11	uk.collection.name.shops	Aperture	Sigma	12	Giftset	736	93.77	306.88	164.12
01/02/2011	Feb-11	uk.collection.name.shops	Aperture	Sigma	12	Standard	763	95.87	283.35	146.17
01/02/2011	Feb-11	uk.collection.name.shops	Aperture	Tau	12	Standard	1164	81.15	199.16	67.35
01/02/2011	Feb-11	uk.collection.name.shops	Black Mesa	Epsilon	12	Standard	1213	81.12	160.53	52.09
01/02/2011	Feb-11	uk.collection.name.shops	Black Mesa	Iota	12	Giftset	1253	93.01	279.37	87.76
01/02/2011	Feb-11	uk.collection.name.shops	Black Mesa	Iota	12	Standard	840	92.9	180.75	84.7
01/02/2011	Feb-11	uk.collection.name.shops	Black Mesa	Lambda	8	Standard	758	70.69	117.98	61.26
01/02/2011	Feb-11	uk.collection.name.shops	Black Mesa	Lambda	12	Standard	4202	99.53	574.52	53.82
01/02/2011	Feb-11	uk.collection.name.shops	Black Mesa	Mu	12	Standard	206	49.79	78.72	150.41
01/02/2011	Feb-11	uk.collection.name.shops	Black Mesa	Theta	6	Standard	176	20.39	43.56	97.41
01/02/2011	Feb-11	uk.collection.name.shops	Black Mesa	Theta	8	Standard	832	98.46	187.36	88.64
01/02/2011	Feb-11	uk.collection.name.shops	Black Mesa	Theta	12	Deluxe	1184	94.29	236.38	78.58
01/02/2011	Feb-11	uk.collection.name.shops	Black Mesa	Theta	12	Giftset	4069	98.44	860.16	83.21
01/02/2011	Feb-11	uk.collection.name.shops	Black Mesa	Theta	12	Standard	7652	99.58	1384.97	71.24
01/02/2011	Feb-11	uk.collection.name.shops	Black Mesa	Theta	18	Standard	17552	98.94	2692.87	60.39
01/02/2011	Feb-11	uk.collection.name.shops	LexCorp	Gamma	12	Standard	3179	99.02	502.15	62.17
01/02/2011	Feb-11	uk.collection.name.shops	MomCorp	Alpha	12	Standard	413	67.07	100.22	95.52
01/02/2011	Feb-11	uk.collection.name.shops	MomCorp	Alpha	18	Standard	1602	93.4	304.63	74.85
01/02/2011	Feb-11	uk.collection.name.shops	Rekall	Beta	8	Standard	1004	99.61	286.01	112.13
01/02/2011	Feb-11	uk.collection.name.shops	Rekall	Beta	12	Deluxe	617	67.73	185.24	118.18
01/02/2011	Feb-11	uk.collection.name.shops	Rekall	Beta	12	Giftset	1919	95.87	569.72	116.86
01/02/2011	Feb-11	uk.collection.name.shops	Rekall	Beta	12	Standard	4353	99.02	1114.73	100.8
01/02/2011	Feb-11	uk.collection.name.shops	Rekall	Beta	18	Standard	3677	95.31	886.25	94.87
01/02/2011	Feb-11	br.wifi.events	Rekall	Beta	60	Standard	679	46.41	179.45	104.03
01/02/2011	Feb-11	uk.wifi.events	Stark Ind	Omega	12	Standard	928	67.19	139.1	59
01/02/2011	Feb-11	uk.wifi.events	Tyrell Corp	Kappa	8	Standard	886	97.31	182.26	80.97
01/02/2011	Feb-11	uk.wifi.events	Tyrell Corp	Kappa	12	Standard	2183	98.73	396.03	71.41
01/02/2011	Feb-11	uk.wifi.events	Tyrell Corp	Kappa	18	Standard	3071	96.97	516.13	66.15
01/02/2011	Feb-11	uk.wifi.events	Wayne Ent	Pi	12	Giftset	818	61.2	162.05	77.98
01/02/2011	Feb-11	br.wifi.available.dates	Aperture	Delta	12	Standard	726	22.07	114.71	62.19
01/02/2011	Feb-11	uk.wifi.available.dates	Aperture	Eta	12	Standard	791	5.06	95.43	47.49
01/02/2011	Feb-11	uk.wifi.available.dates	Aperture	Omicron	8	Standard	15457	49.26	2852.43	72.64
01/02/2011	Feb-11	uk.wifi.available.dates	Aperture	Omicron	12	Deluxe	527	14.9	131.5	98.22
01/02/2011	Feb-11	uk.wifi.available.dates	Aperture	Omicron	12	Giftset	2852	37.57	652.54	90.06
01/02/2011	Feb-11	uk.wifi.available.dates	Aperture	Omicron	12	Standard	8693	44.16	1695.14	76.75
01/02/2011	Feb-11	uk.wifi.available.dates	Aperture	Omicron	18	Standard	4454	36.72	824.76	72.89
01/02/2011	Feb-11	uk.wifi.available.dates	Aperture	Sigma	12	Giftset	478	17.33	213.33	175.67
01/02/2011	Feb-11	uk.wifi.available.dates	Aperture	Sigma	12	Standard	475	16.68	190.12	157.55
01/02/2011	Feb-11	uk.wifi.available.dates	Aperture	Tau	12	Standard	347	13.98	64.73	73.42
01/02/2011	Feb-11	uk.wifi.available.dates	Black Mesa	Epsilon	12	Standard	715	15.27	102.02	56.16
01/02/2011	Feb-11	uk.wifi.available.dates	Black Mesa	Iota	12	Giftset	1342	18.82	298.98	87.69
01/02/2011	Feb-11	uk.wifi.available.dates	Black Mesa	Iota	12	Standard	601	15.41	136.82	89.61
01/02/2011	Feb-11	uk.wifi.available.dates	Black Mesa	Lambda	8	Standard	418	13.07	73.97	69.65
01/02/2011	Feb-11	uk.wifi.available.dates	Black Mesa	Lambda	12	Standard	2742	34.29	424.13	60.88
01/02/2011	Feb-11	uk.wifi.available.dates	Black Mesa	Mu	12	Standard	413	17.54	167.02	159.17
01/02/2011	Feb-11	uk.wifi.available.dates	Black Mesa	Theta	6	Standard	415	11.25	106.41	100.93
01/02/2011	Feb-11	uk.wifi.available.dates	Black Mesa	Theta	8	Standard	2135	32.63	504.1	92.94
01/02/2011	Feb-11	uk.wifi.available.dates	Black Mesa	Theta	12	Deluxe	1115	13.82	225.74	79.69
01/02/2011	Feb-11	uk.wifi.available.dates	Black Mesa	Theta	12	Giftset	2300	27.87	543	92.93
01/02/2011	Feb-11	uk.wifi.available.dates	Black Mesa	Theta	12	Standard	26261	68.24	4251.64	63.72
01/02/2011	Feb-11	uk.wifi.available.dates	Black Mesa	Theta	18	Standard	6533	30.77	1080.48	65.1
01/02/2011	Feb-11	uk.wifi.available.dates	LexCorp	Gamma	12	Standard	1937	32.25	347.47	70.61
01/02/2011	Feb-11	uk.wifi.available.dates	MomCorp	Alpha	12	Standard	5394	40.62	1022.81	74.64
01/02/2011	Feb-11	uk.wifi.available.dates	MomCorp	Alpha	18	Standard	376	7.36	75.97	79.52
01/02/2011	Feb-11	uk.wifi.available.dates	Rekall	Beta	8	Standard	1109	25.16	352.02	124.94
01/02/2011	Feb-11	uk.wifi.available.dates	Rekall	Beta	12	Deluxe	425	14.89	135.32	125.33
01/02/2011	Feb-11	uk.wifi.available.dates	Rekall	Beta	12	Giftset	1142	22.49	377.59	130.14
01/02/2011	Feb-11	uk.wifi.available.dates	Rekall	Beta	12	Standard	4196	38.65	1170.86	109.83
01/02/2011	Feb-11	uk.wifi.available.dates	Rekall	Beta	18	Standard	1897	20.1	478.79	99.34
01/02/2011	Feb-11	uk.wifi.available.dates	Rekall	Beta	60	Standard	160	3.18	50.59	124.44
01/02/2011	Feb-11	uk.wifi.available.dates	Stark Ind	Omega	12	Standard	230	5.19	38.95	66.65
01/02/2011	Feb-11	uk.wifi.available.dates	Tyrell Corp	Kappa	8	Standard	802	25.32	183.48	90.05
01/02/2011	Feb-11	uk.wifi.available.dates	Tyrell Corp	Kappa	12	Standard	3581	33.16	687.38	75.55
01/02/2011	Feb-11	uk.wifi.available.dates	Tyrell Corp	Kappa	18	Standard	751	19.1	145.16	76.08
01/02/2011	Feb-11	uk.wifi.available.dates	Wayne Ent	Pi	12	Giftset	171	6.89	37.31	85.89
01/03/2011	Mar-11	br.collection.name.shops	Aperture	Delta	12	Standard	1719	92.28	242.57	55.54
01/03/2011	Mar-11	br.collection.name.shops	Aperture	Eta	12	Standard	631	14.21	76.02	47.42
01/03/2011	Mar-11	uk.collection.name.shops	Aperture	Omicron	8	Standard	926	98.65	200.8	85.35
01/03/2011	Mar-11	uk.collection.name.shops	Aperture	Omicron	12	Deluxe	497	88.3	112.73	89.28
01/03/2011	Mar-11	uk.collection.name.shops	Aperture	Omicron	12	Giftset	1898	96.78	439.09	91.06
01/03/2011	Mar-11	uk.collection.name.shops	Aperture	Omicron	12	Standard	6893	99.93	1258.99	71.89
01/03/2011	Mar-11	uk.collection.name.shops	Aperture	Omicron	18	Standard	6940	100	1166.38	66.15
01/03/2011	Mar-11	uk.collection.name.shops	Aperture	Sigma	12	Giftset	1186	95.39	478.29	158.74
01/03/2011	Mar-11	uk.collection.name.shops	Aperture	Sigma	12	Standard	690	91.44	252.64	144.11
01/03/2011	Mar-11	uk.collection.name.shops	Aperture	Tau	12	Standard	899	80.38	146.69	64.23
01/03/2011	Mar-11	uk.collection.name.shops	Black Mesa	Epsilon	12	Standard	1108	79.66	147.37	52.35
01/03/2011	Mar-11	uk.collection.name.shops	Black Mesa	Iota	12	Giftset	527	92.13	125.62	93.82
01/03/2011	Mar-11	uk.collection.name.shops	Black Mesa	Iota	12	Standard	1258	97.22	262.33	82.08
01/03/2011	Mar-11	uk.collection.name.shops	Black Mesa	Lambda	8	Standard	799	73.38	125.63	61.89
01/03/2011	Mar-11	uk.collection.name.shops	Black Mesa	Lambda	12	Standard	4244	98.24	575.45	53.37
01/03/2011	Mar-11	uk.collection.name.shops	Black Mesa	Mu	12	Standard	308	53.85	118.54	151.49
01/03/2011	Mar-11	uk.collection.name.shops	Black Mesa	Theta	6	Standard	203	18.99	50.39	97.7
01/03/2011	Mar-11	uk.collection.name.shops	Black Mesa	Theta	8	Standard	791	98.34	177.55	88.35
01/03/2011	Mar-11	uk.collection.name.shops	Black Mesa	Theta	12	Deluxe	775	84.32	163.01	82.79
01/03/2011	Mar-11	uk.collection.name.shops	Black Mesa	Theta	12	Giftset	4517	99.82	961.9	83.82
01/03/2011	Mar-11	uk.collection.name.shops	Black Mesa	Theta	12	Standard	5512	98.79	1010.11	72.13
01/03/2011	Mar-11	uk.collection.name.shops	Black Mesa	Theta	18	Standard	26398	98.02	4010.9	59.8
01/03/2011	Mar-11	uk.collection.name.shops	LexCorp	Gamma	12	Standard	2257	98.35	362.47	63.21
01/03/2011	Mar-11	uk.collection.name.shops	MomCorp	Alpha	12	Standard	542	62.02	122.45	88.93
01/03/2011	Mar-11	uk.collection.name.shops	MomCorp	Alpha	18	Standard	1943	93.94	351.55	71.21
01/03/2011	Mar-11	uk.collection.name.shops	Rekall	Beta	8	Standard	880	97.81	255.99	114.5
01/03/2011	Mar-11	uk.collection.name.shops	Rekall	Beta	12	Deluxe	434	57.11	128.42	116.47
01/03/2011	Mar-11	uk.collection.name.shops	Rekall	Beta	12	Giftset	2326	95.52	675.25	114.27
01/03/2011	Mar-11	uk.collection.name.shops	Rekall	Beta	12	Standard	4290	99.71	1115.12	102.31
01/03/2011	Mar-11	uk.collection.name.shops	Rekall	Beta	18	Standard	3965	96.06	945.08	93.82
01/03/2011	Mar-11	uk.collection.name.shops	Rekall	Beta	60	Standard	673	40.86	172.4	100.83
01/03/2011	Mar-11	uk.collection.name.shops	Stark Ind	Omega	12	Standard	1780	68.58	243.33	53.81
01/03/2011	Mar-11	uk.collection.name.shops	Tyrell Corp	Kappa	8	Standard	868	95.31	174.95	79.33
01/03/2011	Mar-11	uk.collection.name.shops	Tyrell Corp	Kappa	12	Standard	3275	98.66	567.98	68.26
01/03/2011	Mar-11	uk.collection.name.shops	Tyrell Corp	Kappa	18	Standard	17963	99.13	2561.47	56.13
01/03/2011	Mar-11	br.wifi.events	Wayne Ent	Pi	12	Giftset	0	56.92	175.42	77.84
01/03/2011	Mar-11	uk.wifi.events	Wayne Ent	Pi	12	Giftset	0	56.92	175.42	77.84
01/03/2011	Mar-11	br.wifi.available.dates	Aperture	Delta	12	Standard	633	20.32	100.25	62.34
01/03/2011	Mar-11	uk.wifi.available.dates	Aperture	Eta	12	Standard	710	4.76	85.73	47.53
01/03/2011	Mar-11	uk.wifi.available.dates	Aperture	Omicron	8	Standard	6704	45.51	1292.54	75.89
01/03/2011	Mar-11	uk.wifi.available.dates	Aperture	Omicron	12	Deluxe	592	15.75	144.41	96.02
01/03/2011	Mar-11	uk.wifi.available.dates	Aperture	Omicron	12	Giftset	2829	37.58	647.08	90.03
01/03/2011	Mar-11	uk.wifi.available.dates	Aperture	Omicron	12	Standard	6841	45.16	1335.05	76.81
01/03/2011	Mar-11	uk.wifi.available.dates	Aperture	Omicron	18	Standard	5240	39.71	945.08	70.99
01/03/2011	Mar-11	uk.wifi.available.dates	Aperture	Sigma	12	Giftset	926	18.48	370.9	157.65
01/03/2011	Mar-11	uk.wifi.available.dates	Aperture	Sigma	12	Standard	616	16.66	239.87	153.27
01/03/2011	Mar-11	uk.wifi.available.dates	Aperture	Tau	12	Standard	352	13.6	65.51	73.26
01/03/2011	Mar-11	uk.wifi.available.dates	Black Mesa	Epsilon	12	Standard	854	16.27	122.22	56.33
01/03/2011	Mar-11	uk.wifi.available.dates	Black Mesa	Iota	12	Giftset	577	21.11	142.21	97.01
01/03/2011	Mar-11	uk.wifi.available.dates	Black Mesa	Iota	12	Standard	810	21.29	182	88.44
01/03/2011	Mar-11	uk.wifi.available.dates	Black Mesa	Lambda	8	Standard	568	12.86	96.17	66.64
01/03/2011	Mar-11	uk.wifi.available.dates	Black Mesa	Lambda	12	Standard	2543	36.42	393.23	60.86
01/03/2011	Mar-11	uk.wifi.available.dates	Black Mesa	Mu	12	Standard	575	17.11	230.56	157.83
01/03/2011	Mar-11	uk.wifi.available.dates	Black Mesa	Theta	6	Standard	352	10.76	89.83	100.45
01/03/2011	Mar-11	uk.wifi.available.dates	Black Mesa	Theta	8	Standard	1947	31.54	462.42	93.48
01/03/2011	Mar-11	uk.wifi.available.dates	Black Mesa	Theta	12	Deluxe	392	11.66	88.55	88.91
01/03/2011	Mar-11	uk.wifi.available.dates	Black Mesa	Theta	12	Giftset	2582	27.35	606.1	92.39
01/03/2011	Mar-11	uk.wifi.available.dates	Black Mesa	Theta	12	Standard	11141	63.99	2044.12	72.22
01/03/2011	Mar-11	uk.wifi.available.dates	Black Mesa	Theta	18	Standard	11074	39.15	1766.6	62.79
01/03/2011	Mar-11	uk.wifi.available.dates	LexCorp	Gamma	12	Standard	1561	33.22	277.43	69.96
01/03/2011	Mar-11	uk.wifi.available.dates	MomCorp	Alpha	12	Standard	5270	33.69	1042.68	77.88
01/03/2011	Mar-11	uk.wifi.available.dates	MomCorp	Alpha	18	Standard	396	6.62	78.73	78.25
01/03/2011	Mar-11	uk.wifi.available.dates	Rekall	Beta	8	Standard	1144	24.76	365.52	125.76
01/03/2011	Mar-11	uk.wifi.available.dates	Rekall	Beta	12	Deluxe	424	12.3	133.76	124.17
01/03/2011	Mar-11	uk.wifi.available.dates	Rekall	Beta	12	Giftset	1180	19.96	378.28	126.18
01/03/2011	Mar-11	uk.wifi.available.dates	Rekall	Beta	12	Standard	3562	41.18	1021.07	112.83
01/03/2011	Mar-11	uk.wifi.available.dates	Rekall	Beta	18	Standard	1961	26.59	494.89	99.33
01/03/2011	Mar-11	uk.wifi.available.dates	Rekall	Beta	60	Standard	183	4.05	57.34	123.33
01/03/2011	Mar-11	uk.wifi.available.dates	Stark Ind	Omega	12	Standard	1127	15.31	157.41	54.98
01/03/2011	Mar-11	uk.wifi.available.dates	Tyrell Corp	Kappa	8	Standard	936	24.65	207.93	87.44
01/03/2011	Mar-11	uk.wifi.available.dates	Tyrell Corp	Kappa	12	Standard	4345	33.35	821.81	74.45
01/03/2011	Mar-11	br.wifi.events	Tyrell Corp	Kappa	18	Standard	3	28.09	1759.51	56.31
01/03/2011	Mar-11	uk.wifi.events	Wayne Ent	Pi	12	Giftset	149	6.47	33.01	87.19
01/04/2011	Apr-11	br.collection.name.shops	Aperture	Delta	12	Standard	2103	96.4	293.09	54.86
01/04/2011	Apr-11	uk.collection.name.shops	Aperture	Eta	12	Standard	593	15.43	70.4	46.73
01/04/2011	Apr-11	uk.collection.name.shops	Aperture	Omicron	8	Standard	685	97.94	152.02	87.35
01/04/2011	Apr-11	uk.collection.name.shops	Aperture	Omicron	12	Deluxe	440	89.08	100.04	89.5
01/04/2011	Apr-11	uk.collection.name.shops	Aperture	Omicron	12	Giftset	4927	96.71	1007.06	80.45
01/04/2011	Apr-11	uk.collection.name.shops	Aperture	Omicron	12	Standard	5598	99.95	1028.27	72.3
01/04/2011	Apr-11	uk.collection.name.shops	Aperture	Omicron	18	Standard	10080	98.3	1591.04	62.13
01/04/2011	Apr-11	uk.collection.name.shops	Aperture	Sigma	12	Giftset	1852	97.87	707.32	150.33
01/04/2011	Apr-11	uk.collection.name.shops	Aperture	Sigma	12	Standard	649	88.5	238.39	144.58
01/04/2011	Apr-11	uk.collection.name.shops	Aperture	Tau	12	Standard	1308	82.02	211.33	63.59
01/04/2011	Apr-11	uk.collection.name.shops	Black Mesa	Epsilon	12	Standard	1078	79.53	143.11	52.26
01/04/2011	Apr-11	uk.collection.name.shops	Black Mesa	Iota	12	Giftset	875	91.27	197.78	88.97
01/04/2011	Apr-11	uk.collection.name.shops	Black Mesa	Iota	12	Standard	980	95.54	203.7	81.81
01/04/2011	Apr-11	uk.collection.name.shops	Black Mesa	Lambda	8	Standard	793	70.24	123.35	61.23
01/04/2011	Apr-11	uk.collection.name.shops	Black Mesa	Lambda	12	Standard	4112	98.36	565.57	54.14
01/04/2011	Apr-11	uk.collection.name.shops	Black Mesa	Mu	12	Standard	273	52.61	104.3	150.38
01/04/2011	Apr-11	uk.collection.name.shops	Black Mesa	Theta	6	Standard	169	20.47	41.78	97.32
01/04/2011	Apr-11	uk.collection.name.shops	Black Mesa	Theta	8	Standard	757	95.48	170.49	88.65
01/04/2011	Apr-11	uk.collection.name.shops	Black Mesa	Theta	12	Deluxe	562	69.96	123.6	86.57
01/04/2011	Apr-11	uk.collection.name.shops	Black Mesa	Theta	12	Giftset	3443	97.63	740.71	84.68
01/04/2011	Apr-11	uk.collection.name.shops	Black Mesa	Theta	12	Standard	6055	100	1072.52	69.72
01/04/2011	Apr-11	uk.collection.name.shops	Black Mesa	Theta	18	Standard	43922	98.94	6518.95	58.42
01/04/2011	Apr-11	uk.collection.name.shops	LexCorp	Gamma	12	Standard	3414	99.49	520.23	59.98
01/04/2011	Apr-11	uk.collection.name.shops	MomCorp	Alpha	12	Standard	562	59.4	124.61	87.27
01/04/2011	Apr-11	uk.collection.name.shops	MomCorp	Alpha	18	Standard	2260	92.49	410.74	71.54
01/04/2011	Apr-11	uk.collection.name.shops	Rekall	Beta	8	Standard	778	98.48	227.99	115.35
01/04/2011	Apr-11	uk.collection.name.shops	Rekall	Beta	12	Deluxe	257	34.17	76.66	117.4
01/04/2011	Apr-11	uk.collection.name.shops	Rekall	Beta	12	Giftset	2809	96.08	800.69	112.2
01/04/2011	Apr-11	uk.collection.name.shops	Rekall	Beta	12	Standard	4427	99.73	1140.58	101.41
01/04/2011	Apr-11	uk.collection.name.shops	Rekall	Beta	18	Standard	6270	97.36	1432.67	89.94
01/04/2011	Apr-11	uk.collection.name.shops	Rekall	Beta	60	Standard	803	41.88	207.95	101.93
